instance,gringo-size,gringo-timeout-occured,idlv-size,idlv-timeout-occured,newground-idlv-size,newground-idlv-timeout-occured,newground-gringo-size,newground-gringo-timeout-occured
instance_010.lp,1.0703125,False,1.060546875,False,11.12890625,False,11.7998046875,False
instance_013.lp,3.3935546875,False,3.1591796875,False,82.177734375,False,77.7392578125,False
instance_016.lp,4.490234375,False,4.638671875,False,130.474609375,False,121.9326171875,False
instance_019.lp,6.5947265625,False,6.537109375,False,221.6748046875,False,211.390625,False
instance_022.lp,12.0546875,False,11.6083984375,False,389.759765625,False,382.8154296875,False
instance_025.lp,13.109375,False,12.7939453125,False,524.4755859375,False,503.5,False
instance_028.lp,17.24609375,False,16.8427734375,False,663.248046875,False,640.240234375,False
instance_031.lp,20.595703125,False,19.4326171875,False,860.5712890625,False,787.9208984375,False
instance_034.lp,20.4697265625,False,19.9892578125,False,861.712890625,False,788.0947265625,False
instance_037.lp,28.296875,False,28.025390625,False,1447.4267578125,False,1286.6328125,False
instance_040.lp,33.9697265625,False,33.443359375,False,1696.595703125,False,1532.7451171875,False
instance_043.lp,39.76171875,False,40.1083984375,False,2236.044921875,False,2043.6015625,False
instance_046.lp,49.3466796875,False,50.12109375,False,2669.6611328125,False,2455.9267578125,False
instance_049.lp,49.416015625,False,51.6142578125,False,3047.6826171875,False,2814.2431640625,False
instance_052.lp,61.08203125,False,62.1787109375,False,3559.1796875,False,3296.369140625,False
instance_055.lp,1875.49609375,False,1758.3544921875,False,3773.73828125,False,3497.02734375,False
instance_058.lp,19997.44140625,False,18699.2880859375,False,4306.244140625,False,4020.125,False
instance_061.lp,1888.85546875,False,1773.853515625,False,4878.3837890625,False,4557.0654296875,False
instance_064.lp,87029.1201171875,False,81362.6484375,False,5588.294921875,False,5229.85546875,False
instance_067.lp,18208.30859375,False,17033.5537109375,False,6464.595703125,False,6032.2509765625,False
instance_070.lp,5540.314453125,False,5192.875,False,6865.6591796875,False,6427.7314453125,False
instance_073.lp,16414.521484375,False,15360.169921875,False,7456.005859375,False,7103.7080078125,False
instance_076.lp,514524.763671875,False,480988.296875,False,8140.6669921875,False,7621.28125,False
instance_079.lp,219304.6044921875,False,205024.271484375,False,9303.677734375,False,8367.865234375,False
instance_082.lp,41807.5390625,False,39103.580078125,False,9927.9912109375,False,8907.0478515625,False
instance_085.lp,137815.98828125,False,131849.0556640625,False,0,True,0,True
instance_088.lp,141459.3193359375,False,135329.5576171875,False,0,True,0,True
instance_091.lp,9110406.415039062,False,8622085.490234375,False,0,True,0,True
instance_094.lp,2346036.146484375,False,2201537.3701171875,False,0,True,0,True
instance_097.lp,12553930.073242188,False,11862201.879882812,False,0,True,0,True
instance_100.lp,1647372.212890625,False,1546144.0791015625,False,0,True,0,True
instance_103.lp,879187.2685546875,False,830022.080078125,False,0,True,0,True
instance_106.lp,2364049.1064453125,False,2229949.080078125,False,0,True,0,True
instance_109.lp,2755278.8662109375,False,2594827.859375,False,0,True,0,True
instance_112.lp,17132369.19140625,True,16159847.014648438,True,0,True,0,True
instance_115.lp,0,True,0,True,0,True,0,True
instance_118.lp,0,True,0,True,0,True,0,True
instance_121.lp,0,True,0,True,0,True,0,True
instance_124.lp,0,True,0,True,0,True,0,True
instance_127.lp,0,True,0,True,0,True,0,True
instance_130.lp,0,True,0,True,0,True,0,True
instance_133.lp,0,True,0,True,0,True,0,True
instance_136.lp,0,True,0,True,0,True,0,True
instance_139.lp,0,True,0,True,0,True,0,True
instance_142.lp,0,True,0,True,0,True,0,True
instance_145.lp,0,True,0,True,0,True,0,True
instance_148.lp,0,True,0,True,0,True,0,True
instance_151.lp,0,True,0,True,0,True,0,True
instance_154.lp,0,True,0,True,0,True,0,True
instance_157.lp,0,True,0,True,0,True,0,True
instance_160.lp,0,True,0,True,0,True,0,True
instance_163.lp,0,True,0,True,0,True,0,True
instance_166.lp,0,True,0,True,0,True,0,True
instance_169.lp,0,True,0,True,0,True,0,True
instance_172.lp,0,True,0,True,0,True,0,True
instance_175.lp,0,True,0,True,0,True,0,True
instance_178.lp,0,True,0,True,0,True,0,True
instance_181.lp,0,True,0,True,0,True,0,True
instance_184.lp,0,True,0,True,0,True,0,True
instance_187.lp,0,True,0,True,0,True,0,True
instance_190.lp,0,True,0,True,0,True,0,True
instance_193.lp,0,True,0,True,0,True,0,True
instance_196.lp,0,True,0,True,0,True,0,True
instance_199.lp,0,True,0,True,0,True,0,True
